District Name,District Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP
Abby Kelley Foster Charter Public (District),4450000,MATH,109,16,4,1,105,15,398,57,187,27,694,99,480.1,22,449
Abington,10000,MATH,294,33,36,4,258,29,453,51,147,16,894,94,490.4,24.6,538
Academy Of the Pacific Rim Charter Public (District),4120000,MATH,26,10,1,0,25,9,146,55,92,35,264,97,476.5,24.4,249
Acton-Boxborough,6000000,MATH,"1,553",65,386,16,"1,167",49,668,28,152,6,"2,373",97,508.2,53.1,"1,483"
Acushnet,30000,MATH,245,42,27,5,218,37,267,46,71,12,583,98,496.2,32.2,375
Advanced Math and Science Academy Charter (District),4300000,MATH,183,51,53,15,130,36,150,41,29,8,362,97,503.2,32.8,316
Agawam,50000,MATH,442,34,52,4,390,30,642,49,231,18,"1,315",83,490.5,26.6,775
Alma del Mar Charter School (District),4090000,MATH,106,22,6,1,100,21,255,53,123,25,484,99,483,14.6,307
Amesbury,70000,MATH,259,31,18,2,241,29,409,48,177,21,845,94,489.2,31.3,543
Amherst,80000,MATH,140,41,15,4,125,37,122,36,80,23,342,60,492,35.9,140
Amherst-Pelham,6050000,MATH,58,54,11,10,47,44,35,33,14,13,107,26,503.9,33.5,91
Andover,90000,MATH,"1,517",57,336,13,"1,181",45,906,34,218,8,"2,641",99,504.1,42.1,"1,680"
Argosy Collegiate Charter School (District),35090000,MATH,41,13,1,0,40,13,175,56,98,31,314,97,479.1,17.9,286
Arlington,100000,MATH,"1,572",59,282,11,"1,290",49,905,34,171,6,"2,648",95,504.3,41.7,"1,622"
Ashburnham-Westminster,6100000,MATH,358,34,14,1,344,33,570,54,126,12,"1,054",98,492,33.7,695
Ashland,140000,MATH,621,48,118,9,503,39,476,37,184,14,"1,281",98,498.2,43.9,789
Athol-Royalston,6150000,MATH,157,22,14,2,143,20,361,50,198,28,716,97,482.6,29.5,419
Atlantis Charter (District),4910000,MATH,154,24,5,1,149,23,355,54,144,22,653,100,485.2,24.6,426
Attleboro,160000,MATH,840,32,77,3,763,29,"1,245",48,504,19,"2,589",98,489.6,30.5,"1,613"
Auburn,170000,MATH,475,41,55,5,420,36,528,46,155,13,"1,158",97,494.5,32.1,760
Avon,180000,MATH,77,23,7,2,70,21,179,53,83,24,339,98,484.9,35.7,216
Ayer Shirley School District,6160000,MATH,216,28,21,3,195,25,428,56,126,16,770,95,488.5,28.2,483
Barnstable,200000,MATH,440,22,32,2,408,21,"1,029",52,493,25,"1,962",91,484.2,24.2,"1,144"
Baystate Academy Charter Public School (District),35020000,MATH,13,6,0,0,13,6,120,55,87,40,220,95,473.4,14.3,205
Bedford,230000,MATH,783,66,186,16,597,50,352,29,59,5,"1,194",98,508.8,44.7,743
Belchertown,240000,MATH,291,32,19,2,272,30,477,53,139,15,907,91,490.1,38.6,589
Bellingham,250000,MATH,266,28,27,3,239,25,511,54,171,18,948,98,488.5,33.4,602
Belmont,260000,MATH,"1,406",67,382,18,"1,024",49,578,28,110,5,"2,094",98,509.4,34,"1,258"
Benjamin Banneker Charter Public (District),4200000,MATH,81,46,10,6,71,41,78,45,16,9,175,98,497.6,25.8,78
Benjamin Franklin Classical Charter Public (District),4470000,MATH,246,51,50,10,196,41,195,41,37,8,478,98,501.6,27.5,283
Berkley,270000,MATH,235,41,31,5,204,36,283,49,56,10,574,99,495.2,36,380
Berkshire Arts and Technology Charter Public (District),4140000,MATH,50,28,3,2,47,26,90,50,39,22,179,92,486.8,24.7,160
Berkshire Hills,6180000,MATH,123,28,5,1,118,27,219,50,99,22,441,95,487.3,23.8,279
Berlin-Boylston,6200000,MATH,211,46,27,6,184,40,213,46,38,8,462,98,498,29.9,293
Beverly,300000,MATH,755,36,84,4,671,32,996,47,358,17,"2,109",97,492.2,24.1,"1,320"
Billerica,310000,MATH,740,33,78,3,662,29,"1,167",52,348,15,"2,255",99,491.3,22.6,"1,440"
Blackstone-Millville,6220000,MATH,243,32,16,2,227,30,389,52,122,16,754,99,489.8,34,497
Boston,350000,MATH,"3,709",20,492,3,"3,217",17,"7,759",42,"7,210",39,"18,678",91,479.5,26.8,"10,096"
Boston Collegiate Charter (District),4490000,MATH,109,29,9,2,100,26,207,54,66,17,382,99,489.4,32.3,312
