District Name,District Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP
Abby Kelley Foster Charter Public (District),4450000,SCI,59,27,6,3,53,25,118,55,38,18,215,100,488.9,,
Abington,10000,SCI,121,43,18,6,103,37,131,47,28,10,280,94,496.7,,
Academy Of the Pacific Rim Charter Public (District),4120000,SCI,12,13,0,0,12,13,49,53,31,34,92,89,477.5,,
Acton-Boxborough,6000000,SCI,496,67,146,20,350,48,204,28,35,5,735,97,510.5,,
Acushnet,30000,SCI,80,39,10,5,70,34,85,42,38,19,203,99,493.8,,
Advanced Math and Science Academy Charter (District),4300000,SCI,48,64,3,4,45,60,26,35,1,1,75,96,506.2,,
Agawam,50000,SCI,156,44,16,5,140,40,148,42,50,14,354,71,495.8,,
Alma del Mar Charter School (District),4090000,SCI,18,20,1,1,17,19,47,53,23,26,88,100,482.2,,
Amesbury,70000,SCI,123,44,17,6,106,38,112,40,43,15,278,96,496.5,,
Amherst,80000,SCI,44,46,5,5,39,41,33,35,18,19,95,63,496.5,,
Amherst-Pelham,6050000,SCI,27,68,6,15,21,53,8,20,5,13,40,20,510,,
Andover,90000,SCI,547,63,132,15,415,48,263,30,53,6,863,99,506.7,,
Argosy Collegiate Charter School (District),35090000,SCI,9,14,1,2,8,13,36,56,19,30,64,96,480.8,,
Arlington,100000,SCI,521,69,136,18,385,51,186,25,49,6,756,96,510.1,,
Ashburnham-Westminster,6100000,SCI,150,44,13,4,137,40,175,51,15,4,340,98,497.8,,
Ashland,140000,SCI,224,55,42,10,182,45,134,33,49,12,407,97,501.2,,
Athol-Royalston,6150000,SCI,65,32,10,5,55,27,92,46,44,22,201,96,489.9,,
Atlantis Charter (District),4910000,SCI,56,29,5,3,51,26,101,52,37,19,194,100,487.9,,
Attleboro,160000,SCI,329,39,48,6,281,33,370,44,140,17,839,98,494.3,,
Auburn,170000,SCI,192,52,35,10,157,43,138,38,36,10,366,97,501.7,,
Avon,180000,SCI,41,37,1,1,40,36,53,47,18,16,112,96,490.5,,
Ayer Shirley School District,6160000,SCI,111,45,13,5,98,40,110,44,27,11,248,94,496.9,,
Barnstable,200000,SCI,208,32,26,4,182,28,309,48,125,19,642,92,490,,
Baystate Academy Charter Public School (District),35020000,SCI,4,8,0,0,4,8,31,58,18,34,53,98,477.4,,
Bedford,230000,SCI,242,64,71,19,171,45,126,33,11,3,379,98,508.6,,
Belchertown,240000,SCI,134,46,22,8,112,38,124,42,35,12,293,91,497.7,,
Bellingham,250000,SCI,119,40,13,4,106,35,157,52,24,8,300,95,496.6,,
Belmont,260000,SCI,442,72,134,22,308,50,148,24,28,5,618,98,511.9,,
Benjamin Banneker Charter Public (District),4200000,SCI,30,71,6,14,24,57,10,24,2,5,42,100,508,,
Benjamin Franklin Classical Charter Public (District),4470000,SCI,88,63,16,11,72,51,48,34,4,3,140,99,505.3,,
Berkley,270000,SCI,82,43,8,4,74,39,98,52,9,5,189,99,498,,
Berkshire Arts and Technology Charter Public (District),4140000,SCI,19,40,4,8,15,31,21,44,8,17,48,94,495.9,,
Berkshire Hills,6180000,SCI,58,35,1,1,57,34,79,48,29,17,166,92,491.4,,
Berlin-Boylston,6200000,SCI,101,65,32,21,69,45,50,32,4,3,155,97,509.6,,
Beverly,300000,SCI,262,40,43,7,219,34,279,43,106,16,647,96,494.5,,
Billerica,310000,SCI,303,41,43,6,260,35,345,46,97,13,745,99,495.3,,
Blackstone-Millville,6220000,SCI,87,36,11,5,76,31,117,48,40,16,244,97,491.9,,
Boston,350000,SCI,869,19,119,3,750,16,"2,025",44,"1,746",38,"4,640",87,480.1,,
Boston Collegiate Charter (District),4490000,SCI,48,30,2,1,46,29,90,56,23,14,161,99,489.8,,
Boston Green Academy Horace Mann Charter School (District),4110000,SCI,3,9,0,0,3,9,15,45,15,45,33,79,475.6,,
Boston Preparatory Charter Public (District),4160000,SCI,13,19,2,3,11,16,43,61,14,20,70,95,485.3,,
Boston Renaissance Charter Public (District),4810000,SCI,20,21,3,3,17,18,37,39,37,39,94,94,479.6,,
Bourne,360000,SCI,97,35,15,5,82,30,140,51,39,14,276,95,492.7,,
Boxford,380000,SCI,64,58,7,6,57,51,40,36,7,6,111,100,503.4,,
Braintree,400000,SCI,428,53,77,10,351,44,292,36,82,10,802,97,501.5,,
Brewster,410000,SCI,39,55,9,13,30,42,25,35,7,10,71,90,502.9,,
Bridge Boston Charter School (District),4170000,SCI,7,14,0,0,7,14,26,53,16,33,49,89,479.4,,
Bridgewater-Raynham,6250000,SCI,362,45,44,6,318,40,329,41,105,13,796,94,496.4,,
