2021 Next Generation MCAS Achievement Results ,,,,,,,,,,,,,,,,,
District Name,District Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP
Abby Kelley Foster Charter Public (District),04450000,ELA,         258,37,          22,3,         236,34,         324,47,         112,16,         694,99,     491.8,          32.0,         449
Abby Kelley Foster Charter Public (District),04450000,MATH,         109,16,           4,1,         105,15,         398,57,         187,27,         694,99,     480.1,          22.0,         449
Abby Kelley Foster Charter Public (District),04450000,SCI,          59,27,           6,3,          53,25,         118,55,          38,18,         215,100,     488.9,,
Abington,00010000,ELA,         479,53,          85,9,         394,44,         300,33,         122,14,         901,95,     500.3,          38.8,         546
Abington,00010000,MATH,         294,33,          36,4,         258,29,         453,51,         147,16,         894,94,     490.4,          24.6,         538
Abington,00010000,SCI,         121,43,          18,6,         103,37,         131,47,          28,10,         280,94,     496.7,,
Academy Of the Pacific Rim Charter Public (District),04120000,ELA,          65,25,           4,2,          61,23,         120,46,          76,29,         261,96,     483.2,          30.6,         245
Academy Of the Pacific Rim Charter Public (District),04120000,MATH,          26,10,           1,0,          25,9,         146,55,          92,35,         264,97,     476.5,          24.4,         249
Academy Of the Pacific Rim Charter Public (District),04120000,SCI,          12,13,           0,0,          12,13,          49,53,          31,34,          92,89,     477.5,,
Acton-Boxborough,06000000,ELA,"       1,636",69,         388,16,"       1,248",53,         618,26,         119,5,"       2,373",97,     509.7,          43.2,"       1,486"
Acton-Boxborough,06000000,MATH,"       1,553",65,         386,16,"       1,167",49,         668,28,         152,6,"       2,373",97,     508.2,          53.1,"       1,483"
Acton-Boxborough,06000000,SCI,         496,67,         146,20,         350,48,         204,28,          35,5,         735,97,     510.5,,
Acushnet,00030000,ELA,         298,51,          55,9,         243,42,         219,38,          67,11,         584,98,     500.7,          35.4,         372
Acushnet,00030000,MATH,         245,42,          27,5,         218,37,         267,46,          71,12,         583,98,     496.2,          32.2,         375
Acushnet,00030000,SCI,          80,39,          10,5,          70,34,          85,42,          38,19,         203,99,     493.8,,
Advanced Math and Science Academy Charter (District),04300000,ELA,         232,65,          46,13,         186,52,         114,32,          12,3,         358,96,     508.9,          41.1,         311
Advanced Math and Science Academy Charter (District),04300000,MATH,         183,51,          53,15,         130,36,         150,41,          29,8,         362,97,     503.2,          32.8,         316
Advanced Math and Science Academy Charter (District),04300000,SCI,          48,64,           3,4,          45,60,          26,35,           1,1,          75,96,     506.2,,
Agawam,00050000,ELA,         567,43,          67,5,         500,38,         579,44,         171,13,"       1,317",83,     495.8,          32.1,         776
Agawam,00050000,MATH,         442,34,          52,4,         390,30,         642,49,         231,18,"       1,315",83,     490.5,          26.6,         775
Agawam,00050000,SCI,         156,44,          16,5,         140,40,         148,42,          50,14,         354,71,     495.8,,
Alma del Mar Charter School (District),04090000,ELA,         208,43,          23,5,         185,38,         202,42,          74,15,         484,99,     494.3,          31.4,         307
Alma del Mar Charter School (District),04090000,MATH,         106,22,           6,1,         100,21,         255,53,         123,25,         484,99,     483.0,          14.6,         307
Alma del Mar Charter School (District),04090000,SCI,          18,20,           1,1,          17,19,          47,53,          23,26,          88,100,     482.2,,
Amesbury,00070000,ELA,         411,48,          70,8,         341,40,         306,36,         135,16,         852,95,     497.3,          35.8,         549
Amesbury,00070000,MATH,         259,31,          18,2,         241,29,         409,48,         177,21,         845,94,     489.2,          31.3,         543
Amesbury,00070000,SCI,         123,44,          17,6,         106,38,         112,40,          43,15,         278,96,     496.5,,
Amherst,00080000,ELA,         197,58,          44,13,         153,45,         105,31,          39,11,         341,61,     503.0,          41.5,         139
Amherst,00080000,MATH,         140,41,          15,4,         125,37,         122,36,          80,23,         342,60,     492.0,          35.9,         140
Amherst,00080000,SCI,          44,46,           5,5,          39,41,          33,35,          18,19,          95,63,     496.5,,
Amherst-Pelham,06050000,ELA,          61,64,          10,11,          51,54,          20,21,          14,15,          95,23,     506.2,          45.0,          79
Amherst-Pelham,06050000,MATH,          58,54,          11,10,          47,44,          35,33,          14,13,         107,26,     503.9,          33.5,          91
Amherst-Pelham,06050000,SCI,          27,68,           6,15,          21,53,           8,20,           5,13,          40,20,     510.0,,
Andover,00090000,ELA,"       1,704",65,         426,16,"       1,278",48,         768,29,         165,6,"       2,637",99,     507.7,          39.7,"       1,675"
Andover,00090000,MATH,"       1,517",57,         336,13,"       1,181",45,         906,34,         218,8,"       2,641",99,     504.1,          42.1,"       1,680"
Andover,00090000,SCI,         547,63,         132,15,         415,48,         263,30,          53,6,         863,99,     506.7,,
Argosy Collegiate Charter School (District),35090000,ELA,          57,18,           2,1,          55,18,         160,51,          95,30,         312,96,     480.7,          21.3,         285
Argosy Collegiate Charter School (District),35090000,MATH,          41,13,           1,0,          40,13,         175,56,          98,31,         314,97,     479.1,          17.9,         286
Argosy Collegiate Charter School (District),35090000,SCI,           9,14,           1,2,           8,13,          36,56,          19,30,          64,96,     480.8,,
Arlington,00100000,ELA,"       1,895",71,         492,19,"       1,403",53,         631,24,         127,5,"       2,653",95,     510.9,          48.5,"       1,621"
Arlington,00100000,MATH,"       1,572",59,         282,11,"       1,290",49,         905,34,         171,6,"       2,648",95,     504.3,          41.7,"       1,622"
Arlington,00100000,SCI,         521,69,         136,18,         385,51,         186,25,          49,6,         756,96,     510.1,,
Ashburnham-Westminster,06100000,ELA,         551,52,          60,6,         491,47,         434,41,          70,7,"       1,055",99,     500.7,          46.1,         695
Ashburnham-Westminster,06100000,MATH,         358,34,          14,1,         344,33,         570,54,         126,12,"       1,054",98,     492.0,          33.7,         695
Ashburnham-Westminster,06100000,SCI,         150,44,          13,4,         137,40,         175,51,          15,4,         340,98,     497.8,,
Ashland,00140000,ELA,         740,58,         156,12,         584,46,         406,32,         134,10,"       1,280",98,     503.0,          44.5,         789
Ashland,00140000,MATH,         621,48,         118,9,         503,39,         476,37,         184,14,"       1,281",98,     498.2,          43.9,         789
Ashland,00140000,SCI,         224,55,          42,10,         182,45,         134,33,          49,12,         407,97,     501.2,,
Athol-Royalston,06150000,ELA,         230,32,          25,4,         205,29,         314,44,         168,24,         712,97,     487.9,          31.5,         417
Athol-Royalston,06150000,MATH,         157,22,          14,2,         143,20,         361,50,         198,28,         716,97,     482.6,          29.5,         419
Athol-Royalston,06150000,SCI,          65,32,          10,5,          55,27,          92,46,          44,22,         201,96,     489.9,,
Atlantis Charter (District),04910000,ELA,         257,39,          32,5,         225,34,         293,45,         103,16,         653,100,     493.0,          31.0,         426
Atlantis Charter (District),04910000,MATH,         154,24,           5,1,         149,23,         355,54,         144,22,         653,100,     485.2,          24.6,         426
Atlantis Charter (District),04910000,SCI,          56,29,           5,3,          51,26,         101,52,          37,19,         194,100,     487.9,,
Attleboro,00160000,ELA,"       1,134",44,         143,6,         991,38,"       1,082",42,         373,14,"       2,589",98,     495.6,          32.7,"       1,612"
Attleboro,00160000,MATH,         840,32,          77,3,         763,29,"       1,245",48,         504,19,"       2,589",98,     489.6,          30.5,"       1,613"
Attleboro,00160000,SCI,         329,39,          48,6,         281,33,         370,44,         140,17,         839,98,     494.3,,
Auburn,00170000,ELA,         596,52,         104,9,         492,43,         439,38,         122,11,"       1,157",97,     500.6,          32.1,         760
Auburn,00170000,MATH,         475,41,          55,5,         420,36,         528,46,         155,13,"       1,158",97,     494.5,          32.1,         760
Auburn,00170000,SCI,         192,52,          35,10,         157,43,         138,38,          36,10,         366,97,     501.7,,
Avon,00180000,ELA,         155,46,          19,6,         136,40,         136,40,          47,14,         338,97,     496.6,          39.1,         216
Avon,00180000,MATH,          77,23,           7,2,          70,21,         179,53,          83,24,         339,98,     484.9,          35.7,         216
Avon,00180000,SCI,          41,37,           1,1,          40,36,          53,47,          18,16,         112,96,     490.5,,
Ayer Shirley School District,06160000,ELA,         355,46,          44,6,         311,40,         334,43,          82,11,         771,95,     497.4,          36.9,         482
Ayer Shirley School District,06160000,MATH,         216,28,          21,3,         195,25,         428,56,         126,16,         770,95,     488.5,          28.2,         483
Ayer Shirley School District,06160000,SCI,         111,45,          13,5,          98,40,         110,44,          27,11,         248,94,     496.9,,
Barnstable,00200000,ELA,         779,40,          88,4,         691,35,         815,41,         372,19,"       1,966",91,     492.5,          34.4,"       1,131"
Barnstable,00200000,MATH,         440,22,          32,2,         408,21,"       1,029",52,         493,25,"       1,962",91,     484.2,          24.2,"       1,144"
Barnstable,00200000,SCI,         208,32,          26,4,         182,28,         309,48,         125,19,         642,92,     490.0,,
Baystate Academy Charter Public School (District),35020000,ELA,          44,20,           4,2,          40,18,          95,42,          85,38,         224,97,     478.7,          25.4,         208
Baystate Academy Charter Public School (District),35020000,MATH,          13,6,           0,0,          13,6,         120,55,          87,40,         220,95,     473.4,          14.3,         205
Baystate Academy Charter Public School (District),35020000,SCI,           4,8,           0,0,           4,8,          31,58,          18,34,          53,98,     477.4,,
Bedford,00230000,ELA,         865,72,         238,20,         627,53,         280,23,          49,4,"       1,194",98,     512.4,          44.9,         742
Bedford,00230000,MATH,         783,66,         186,16,         597,50,         352,29,          59,5,"       1,194",98,     508.8,          44.7,         743
Bedford,00230000,SCI,         242,64,          71,19,         171,45,         126,33,          11,3,         379,98,     508.6,,
Belchertown,00240000,ELA,         409,45,          49,5,         360,40,         380,42,         113,13,         902,90,     496.3,          37.5,         584
Belchertown,00240000,MATH,         291,32,          19,2,         272,30,         477,53,         139,15,         907,91,     490.1,          38.6,         589
Belchertown,00240000,SCI,         134,46,          22,8,         112,38,         124,42,          35,12,         293,91,     497.7,,
Bellingham,00250000,ELA,         370,39,          46,5,         324,34,         448,47,         128,14,         946,98,     494.5,          36.4,         600
Bellingham,00250000,MATH,         266,28,          27,3,         239,25,         511,54,         171,18,         948,98,     488.5,          33.4,         602
Bellingham,00250000,SCI,         119,40,          13,4,         106,35,         157,52,          24,8,         300,95,     496.6,,
Belmont,00260000,ELA,"       1,589",76,         423,20,"       1,166",56,         404,19,         100,5,"       2,093",98,     513.2,          39.4,"       1,258"
Belmont,00260000,MATH,"       1,406",67,         382,18,"       1,024",49,         578,28,         110,5,"       2,094",98,     509.4,          34.0,"       1,258"
Belmont,00260000,SCI,         442,72,         134,22,         308,50,         148,24,          28,5,         618,98,     511.9,,
Benjamin Banneker Charter Public (District),04200000,ELA,         124,71,          36,21,          88,50,          38,22,          13,7,         175,98,     509.2,          42.2,          78
Benjamin Banneker Charter Public (District),04200000,MATH,          81,46,          10,6,          71,41,          78,45,          16,9,         175,98,     497.6,          25.8,          78
Benjamin Banneker Charter Public (District),04200000,SCI,          30,71,           6,14,          24,57,          10,24,           2,5,          42,100,     508.0,,
Benjamin Franklin Classical Charter Public (District),04470000,ELA,         302,63,          45,9,         257,54,         157,33,          18,4,         477,98,     506.5,          36.2,         279
Benjamin Franklin Classical Charter Public (District),04470000,MATH,         246,51,          50,10,         196,41,         195,41,          37,8,         478,98,     501.6,          27.5,         283
Benjamin Franklin Classical Charter Public (District),04470000,SCI,          88,63,          16,11,          72,51,          48,34,           4,3,         140,99,     505.3,,
Berkley,00270000,ELA,         307,53,          59,10,         248,43,         223,39,          45,8,         575,99,     501.8,          41.0,         382
Berkley,00270000,MATH,         235,41,          31,5,         204,36,         283,49,          56,10,         574,99,     495.2,          36.0,         380
Berkley,00270000,SCI,          82,43,           8,4,          74,39,          98,52,           9,5,         189,99,     498.0,,
Berkshire Arts and Technology Charter Public (District),04140000,ELA,          84,47,          15,8,          69,39,          56,32,          37,21,         177,91,     495.4,          37.9,         159
Berkshire Arts and Technology Charter Public (District),04140000,MATH,          50,28,           3,2,          47,26,          90,50,          39,22,         179,92,     486.8,          24.7,         160
Berkshire Arts and Technology Charter Public (District),04140000,SCI,          19,40,           4,8,          15,31,          21,44,           8,17,          48,94,     495.9,,
Berkshire Hills,06180000,ELA,         189,43,          26,6,         163,37,         188,43,          62,14,         439,95,     495.5,          34.0,         277
Berkshire Hills,06180000,MATH,         123,28,           5,1,         118,27,         219,50,          99,22,         441,95,     487.3,          23.8,         279
Berkshire Hills,06180000,SCI,          58,35,           1,1,          57,34,          79,48,          29,17,         166,92,     491.4,,
Berlin-Boylston,06200000,ELA,         308,67,          67,15,         241,52,         128,28,          26,6,         462,98,     507.5,          44.3,         295
Berlin-Boylston,06200000,MATH,         211,46,          27,6,         184,40,         213,46,          38,8,         462,98,     498.0,          29.9,         293
Berlin-Boylston,06200000,SCI,         101,65,          32,21,          69,45,          50,32,           4,3,         155,97,     509.6,,
Beverly,00300000,ELA,"       1,045",50,         191,9,         854,40,         790,37,         276,13,"       2,111",98,     498.6,          32.1,"       1,318"
Beverly,00300000,MATH,         755,36,          84,4,         671,32,         996,47,         358,17,"       2,109",97,     492.2,          24.1,"       1,320"
Beverly,00300000,SCI,         262,40,          43,7,         219,34,         279,43,         106,16,         647,96,     494.5,,
Billerica,00310000,ELA,"       1,102",49,         150,7,         952,42,         900,40,         253,11,"       2,255",99,     498.3,          34.4,"       1,438"
Billerica,00310000,MATH,         740,33,          78,3,         662,29,"       1,167",52,         348,15,"       2,255",99,     491.3,          22.6,"       1,440"
Billerica,00310000,SCI,         303,41,          43,6,         260,35,         345,46,          97,13,         745,99,     495.3,,
Blackstone-Millville,06220000,ELA,         343,45,          43,6,         300,40,         312,41,          99,13,         754,99,     496.5,          36.0,         497
Blackstone-Millville,06220000,MATH,         243,32,          16,2,         227,30,         389,52,         122,16,         754,99,     489.8,          34.0,         497
Blackstone-Millville,06220000,SCI,          87,36,          11,5,          76,31,         117,48,          40,16,         244,97,     491.9,,
Boston,00350000,ELA,"       5,828",31,         885,5,"       4,943",26,"       7,651",41,"       5,220",28,"      18,699",91,     487.4,          33.4,"      10,075"
Boston,00350000,MATH,"       3,709",20,         492,3,"       3,217",17,"       7,759",42,"       7,210",39,"      18,678",91,     479.5,          26.8,"      10,096"
Boston,00350000,SCI,         869,19,         119,3,         750,16,"       2,025",44,"       1,746",38,"       4,640",87,     480.1,,
Boston Collegiate Charter (District),04490000,ELA,         142,37,          13,3,         129,34,         175,46,          66,17,         383,99,     492.0,          33.2,         314
Boston Collegiate Charter (District),04490000,MATH,         109,29,           9,2,         100,26,         207,54,          66,17,         382,99,     489.4,          32.3,         312
Boston Collegiate Charter (District),04490000,SCI,          48,30,           2,1,          46,29,          90,56,          23,14,         161,99,     489.8,,
Boston Green Academy Horace Mann Charter School (District),04110000,ELA,          19,14,           3,2,          16,12,          69,50,          51,37,         139,82,     478.5,          26.4,         131
Boston Green Academy Horace Mann Charter School (District),04110000,MATH,           7,4,           0,0,           7,4,          89,57,          60,38,         156,91,     474.8,          25.3,         145
Boston Green Academy Horace Mann Charter School (District),04110000,SCI,           3,9,           0,0,           3,9,          15,45,          15,45,          33,79,     475.6,,
Boston Preparatory Charter Public (District),04160000,ELA,          88,29,          13,4,          75,25,         144,48,          70,23,         302,97,     488.1,          39.5,         281
Boston Preparatory Charter Public (District),04160000,MATH,          42,14,           2,1,          40,13,         180,59,          83,27,         305,98,     480.8,          27.0,         283
Boston Preparatory Charter Public (District),04160000,SCI,          13,19,           2,3,          11,16,          43,61,          14,20,          70,95,     485.3,,
Boston Renaissance Charter Public (District),04810000,ELA,         110,27,          11,3,          99,24,         211,52,          84,21,         405,97,     487.1,          28.7,         150
Boston Renaissance Charter Public (District),04810000,MATH,          50,12,           3,1,          47,12,         179,44,         178,44,         407,98,     474.2,          17.8,         150
Boston Renaissance Charter Public (District),04810000,SCI,          20,21,           3,3,          17,18,          37,39,          37,39,          94,94,     479.6,,
